,RNAME
115,NIHU01000006.1
116,NIHU01000015.1
117,NIHU01000009.1
118,NIHU01000016.1
119,NIHU01000010.1
120,NIHU01000006.1
121,NIHU01000006.1
122,NIHU01000001.1
123,NIHU01000006.1
124,NIHU01000024.1
125,NIHU01000016.1
126,NIHU01000023.1
127,NIHU01000013.1
128,NIHU01000012.1
129,NIHU01000019.1
130,NIHU01000002.1
131,NIHU01000024.1
132,NIHU01000016.1
133,NIHU01000006.1
134,NIHU01000024.1
135,NIHU01000007.1
136,NIHU01000007.1
137,NIHU01000001.1
138,NIHU01000008.1
139,NIHU01000019.1
140,NIHU01000002.1
141,NIHU01000035.1
142,NIHU01000007.1
143,NIHU01000024.1
144,NIHU01000004.1
146,NIHU01000001.1
148,NIHU01000021.1
149,NIHU01000002.1
150,NIHU01000021.1
151,NIHU01000008.1
152,NIHU01000016.1
153,NIHU01000020.1
154,NIHU01000023.1
155,NIHU01000007.1
156,NIHU01000024.1
157,NIHU01000013.1
158,NIHU01000010.1
159,NIHU01000014.1
160,NIHU01000015.1
161,NIHU01000014.1
162,NIHU01000001.1
163,NIHU01000011.1
164,NIHU01000026.1
165,NIHU01000001.1
166,NIHU01000002.1
167,NIHU01000005.1
168,NIHU01000007.1
169,NIHU01000006.1
170,NIHU01000011.1
171,NIHU01000018.1
172,NIHU01000009.1
173,NIHU01000017.1
174,NIHU01000010.1
175,NIHU01000008.1
176,NIHU01000021.1
177,NIHU01000017.1
178,NIHU01000021.1
179,NIHU01000020.1
180,NIHU01000002.1
181,NIHU01000019.1
182,NIHU01000001.1
183,NIHU01000002.1
184,NIHU01000001.1
185,NIHU01000011.1
186,NIHU01000020.1
188,NIHU01000009.1
189,NIHU01000008.1
190,NIHU01000006.1
191,NIHU01000016.1
192,NIHU01000005.1
193,NIHU01000013.1
194,NIHU01000017.1
195,NIHU01000004.1
197,NIHU01000005.1
198,NIHU01000006.1
199,NIHU01000010.1
200,NIHU01000024.1
201,NIHU01000011.1
202,NIHU01000024.1
203,NIHU01000001.1
204,NIHU01000008.1
205,NIHU01000001.1
206,NIHU01000001.1
207,NIHU01000002.1
208,NIHU01000005.1
209,NIHU01000009.1
210,NIHU01000001.1
212,NIHU01000018.1
213,NIHU01000004.1
214,NIHU01000006.1
215,NIHU01000024.1
216,NIHU01000001.1
217,NIHU01000013.1
218,NIHU01000008.1
219,NIHU01000017.1
220,NIHU01000006.1
221,NIHU01000006.1
222,NIHU01000007.1
223,NIHU01000001.1
224,NIHU01000022.1
225,NIHU01000011.1
226,NIHU01000007.1
227,NIHU01000004.1
228,NIHU01000008.1
229,NIHU01000001.1
230,NIHU01000012.1
231,NIHU01000015.1
232,NIHU01000009.1
234,NIHU01000015.1
235,NIHU01000015.1
236,NIHU01000029.1
237,NIHU01000012.1
238,NIHU01000022.1
239,NIHU01000006.1
240,NIHU01000009.1
241,NIHU01000021.1
242,NIHU01000009.1
243,NIHU01000009.1
244,NIHU01000023.1
246,NIHU01000002.1
247,NIHU01000006.1
248,NIHU01000016.1
249,NIHU01000008.1
250,NIHU01000001.1
251,NIHU01000021.1
252,NIHU01000014.1
253,NIHU01000002.1
254,NIHU01000016.1
255,NIHU01000034.1
256,NIHU01000007.1
257,NIHU01000007.1
258,NIHU01000018.1
259,NIHU01000001.1
260,NIHU01000022.1
261,NIHU01000020.1
262,NIHU01000046.1
263,NIHU01000009.1
264,NIHU01000001.1
265,NIHU01000008.1
266,NIHU01000012.1
267,NIHU01000001.1
268,NIHU01000004.1
269,NIHU01000031.1
271,NIHU01000004.1
272,NIHU01000017.1
274,NIHU01000024.1
275,NIHU01000018.1
276,NIHU01000011.1
277,NIHU01000022.1
278,NIHU01000009.1
279,NIHU01000012.1
280,NIHU01000024.1
281,NIHU01000005.1
282,NIHU01000004.1
283,NIHU01000002.1
284,NIHU01000036.1
285,NIHU01000014.1
286,NIHU01000015.1
287,NIHU01000002.1
288,NIHU01000017.1
289,NIHU01000007.1
290,NIHU01000002.1
291,NIHU01000014.1
292,NIHU01000024.1
293,NIHU01000017.1
294,NIHU01000024.1
295,NIHU01000010.1
296,NIHU01000007.1
297,NIHU01000010.1
299,NIHU01000002.1
300,NIHU01000015.1
301,NIHU01000002.1
302,NIHU01000006.1
303,NIHU01000015.1
304,NIHU01000002.1
305,NIHU01000010.1
307,NIHU01000007.1
308,NIHU01000002.1
309,NIHU01000013.1
311,NIHU01000011.1
312,NIHU01000026.1
313,NIHU01000011.1
314,NIHU01000008.1
315,NIHU01000010.1
317,NIHU01000012.1
318,NIHU01000029.1
319,NIHU01000015.1
320,NIHU01000002.1
321,NIHU01000026.1
322,NIHU01000016.1
324,NIHU01000004.1
325,NIHU01000015.1
326,NIHU01000006.1
327,NIHU01000021.1
328,NIHU01000016.1
329,NIHU01000008.1
330,NIHU01000025.1
331,NIHU01000001.1
332,NIHU01000022.1
333,NIHU01000012.1
335,NIHU01000021.1
336,NIHU01000001.1
337,NIHU01000023.1
338,NIHU01000016.1
339,NIHU01000010.1
340,NIHU01000009.1
341,NIHU01000023.1
342,NIHU01000012.1
343,NIHU01000012.1
344,NIHU01000015.1
345,NIHU01000006.1
346,NIHU01000005.1
347,NIHU01000006.1
348,NIHU01000008.1
349,NIHU01000022.1
350,NIHU01000007.1
351,NIHU01000022.1
352,NIHU01000016.1
353,NIHU01000016.1
354,NIHU01000019.1
355,NIHU01000012.1
356,NIHU01000025.1
357,NIHU01000013.1
358,NIHU01000019.1
360,NIHU01000023.1
361,NIHU01000017.1
362,NIHU01000005.1
363,NIHU01000009.1
364,NIHU01000017.1
365,NIHU01000014.1
367,NIHU01000014.1
369,NIHU01000013.1
370,NIHU01000014.1
371,NIHU01000006.1
372,NIHU01000013.1
373,NIHU01000012.1
374,NIHU01000010.1
375,NIHU01000001.1
376,NIHU01000054.1
377,NIHU01000016.1
378,NIHU01000006.1
379,NIHU01000004.1
380,NIHU01000009.1
381,NIHU01000017.1
382,NIHU01000014.1
383,NIHU01000030.1
384,NIHU01000010.1
385,NIHU01000008.1
387,NIHU01000007.1
388,NIHU01000017.1
390,NIHU01000019.1
391,NIHU01000018.1
392,NIHU01000012.1
393,NIHU01000008.1
394,NIHU01000019.1
395,NIHU01000010.1
396,NIHU01000014.1
397,NIHU01000010.1
398,NIHU01000018.1
399,NIHU01000001.1
400,NIHU01000016.1
401,NIHU01000008.1
402,NIHU01000005.1
403,NIHU01000013.1
404,NIHU01000025.1
405,NIHU01000013.1
406,NIHU01000008.1
407,NIHU01000006.1
408,NIHU01000001.1
409,NIHU01000007.1
410,NIHU01000010.1
411,NIHU01000013.1
412,NIHU01000024.1
413,NIHU01000014.1
414,NIHU01000026.1
415,NIHU01000017.1
416,NIHU01000008.1
417,NIHU01000009.1
419,NIHU01000022.1
420,NIHU01000001.1
421,NIHU01000013.1
422,NIHU01000011.1
423,NIHU01000006.1
424,NIHU01000011.1
425,NIHU01000005.1
426,NIHU01000005.1
427,NIHU01000052.1
428,NIHU01000011.1
429,NIHU01000007.1
430,NIHU01000008.1
431,NIHU01000011.1
432,NIHU01000010.1
433,NIHU01000015.1
434,NIHU01000006.1
435,NIHU01000014.1
436,NIHU01000014.1
437,NIHU01000009.1
438,NIHU01000009.1
439,NIHU01000007.1
440,NIHU01000002.1
441,NIHU01000010.1
442,NIHU01000026.1
443,NIHU01000004.1
445,NIHU01000010.1
446,NIHU01000007.1
447,NIHU01000010.1
448,NIHU01000002.1
449,NIHU01000004.1
450,NIHU01000007.1
451,NIHU01000002.1
452,NIHU01000002.1
453,NIHU01000012.1
454,NIHU01000001.1
456,NIHU01000016.1
457,NIHU01000008.1
458,NIHU01000006.1
459,NIHU01000008.1
460,NIHU01000036.1
461,NIHU01000010.1
462,NIHU01000006.1
463,NIHU01000002.1
464,NIHU01000007.1
465,NIHU01000025.1
467,NIHU01000001.1
468,NIHU01000007.1
470,NIHU01000008.1
471,NIHU01000005.1
472,NIHU01000026.1
473,NIHU01000006.1
474,NIHU01000008.1
475,NIHU01000016.1
476,NIHU01000008.1
477,NIHU01000018.1
478,NIHU01000002.1
479,NIHU01000008.1
480,NIHU01000014.1
481,NIHU01000011.1
482,NIHU01000010.1
483,NIHU01000011.1
484,NIHU01000010.1
485,NIHU01000002.1
486,NIHU01000001.1
487,NIHU01000024.1
488,NIHU01000007.1
489,NIHU01000001.1
490,NIHU01000001.1
491,NIHU01000006.1
492,NIHU01000009.1
493,NIHU01000021.1
494,NIHU01000019.1
495,NIHU01000015.1
496,NIHU01000018.1
497,NIHU01000016.1
498,NIHU01000017.1
499,NIHU01000002.1
500,NIHU01000020.1
501,NIHU01000033.1
503,NIHU01000016.1
504,NIHU01000023.1
505,NIHU01000011.1
506,NIHU01000017.1
507,NIHU01000017.1
508,NIHU01000004.1
509,NIHU01000009.1
510,NIHU01000022.1
512,NIHU01000020.1
513,NIHU01000016.1
514,NIHU01000008.1
515,NIHU01000002.1
516,NIHU01000025.1
517,NIHU01000010.1
518,NIHU01000020.1
519,NIHU01000011.1
520,NIHU01000017.1
521,NIHU01000001.1
522,NIHU01000008.1
523,NIHU01000017.1
524,NIHU01000002.1
525,NIHU01000008.1
526,NIHU01000010.1
527,NIHU01000024.1
528,NIHU01000002.1
529,NIHU01000009.1
530,NIHU01000024.1
531,NIHU01000006.1
532,NIHU01000020.1
533,NIHU01000022.1
534,NIHU01000017.1
535,NIHU01000010.1
536,NIHU01000015.1
537,NIHU01000005.1
540,NIHU01000011.1
541,NIHU01000001.1
542,NIHU01000002.1
543,NIHU01000008.1
544,NIHU01000024.1
545,NIHU01000002.1
546,NIHU01000011.1
547,NIHU01000014.1
548,NIHU01000002.1
549,NIHU01000012.1
550,NIHU01000023.1
552,NIHU01000005.1
553,NIHU01000014.1
555,NIHU01000015.1
556,NIHU01000005.1
557,NIHU01000019.1
558,NIHU01000005.1
559,NIHU01000004.1
560,NIHU01000031.1
561,NIHU01000005.1
563,NIHU01000010.1
564,NIHU01000013.1
565,NIHU01000023.1
566,NIHU01000010.1
567,NIHU01000001.1
568,NIHU01000002.1
569,NIHU01000029.1
570,NIHU01000002.1
571,NIHU01000004.1
572,NIHU01000004.1
573,NIHU01000011.1
574,NIHU01000019.1
576,NIHU01000002.1
577,NIHU01000030.1
578,NIHU01000017.1
579,NIHU01000005.1
580,NIHU01000008.1
581,NIHU01000001.1
582,NIHU01000020.1
583,NIHU01000014.1
584,NIHU01000019.1
585,NIHU01000030.1
586,NIHU01000031.1
587,NIHU01000013.1
588,NIHU01000002.1
589,NIHU01000039.1
590,NIHU01000014.1
591,NIHU01000016.1
593,NIHU01000015.1
594,NIHU01000011.1
595,NIHU01000023.1
596,NIHU01000001.1
597,NIHU01000012.1
598,NIHU01000005.1
599,NIHU01000004.1
601,NIHU01000012.1
602,NIHU01000006.1
603,NIHU01000006.1
604,NIHU01000015.1
605,NIHU01000005.1
606,NIHU01000007.1
607,NIHU01000018.1
608,NIHU01000002.1
609,NIHU01000008.1
610,NIHU01000017.1
611,NIHU01000016.1
612,NIHU01000016.1
613,NIHU01000010.1
614,NIHU01000004.1
615,NIHU01000009.1
616,NIHU01000005.1
617,NIHU01000026.1
618,NIHU01000011.1
619,NIHU01000004.1
620,NIHU01000013.1
621,NIHU01000008.1
622,NIHU01000002.1
623,NIHU01000004.1
624,NIHU01000002.1
625,NIHU01000011.1
626,NIHU01000010.1
627,NIHU01000004.1
628,NIHU01000021.1
629,NIHU01000002.1
630,NIHU01000002.1
631,NIHU01000013.1
632,NIHU01000016.1
633,NIHU01000008.1
634,NIHU01000014.1
635,NIHU01000010.1
636,NIHU01000013.1
637,NIHU01000002.1
638,NIHU01000031.1
639,NIHU01000006.1
640,NIHU01000023.1
641,NIHU01000005.1
642,NIHU01000002.1
643,NIHU01000001.1
644,NIHU01000004.1
645,NIHU01000019.1
646,NIHU01000007.1
647,NIHU01000018.1
648,NIHU01000012.1
650,NIHU01000016.1
651,NIHU01000004.1
652,NIHU01000010.1
653,NIHU01000002.1
654,NIHU01000004.1
655,NIHU01000001.1
656,NIHU01000004.1
657,NIHU01000011.1
658,NIHU01000005.1
659,NIHU01000005.1
660,NIHU01000017.1
661,NIHU01000016.1
662,NIHU01000013.1
663,NIHU01000019.1
664,NIHU01000010.1
665,NIHU01000024.1
666,NIHU01000007.1
667,NIHU01000006.1
668,NIHU01000020.1
669,NIHU01000007.1
670,NIHU01000014.1
671,NIHU01000005.1
672,NIHU01000004.1
673,NIHU01000004.1
674,NIHU01000020.1
675,NIHU01000002.1
676,NIHU01000004.1
677,NIHU01000022.1
678,NIHU01000016.1
679,NIHU01000010.1
680,NIHU01000001.1
681,NIHU01000008.1
682,NIHU01000008.1
683,NIHU01000009.1
684,NIHU01000012.1
685,NIHU01000008.1
686,NIHU01000007.1
687,NIHU01000011.1
688,NIHU01000001.1
689,NIHU01000009.1
691,NIHU01000007.1
692,NIHU01000009.1
693,NIHU01000024.1
694,NIHU01000020.1
695,NIHU01000010.1
696,NIHU01000010.1
697,NIHU01000009.1
698,NIHU01000004.1
699,NIHU01000023.1
701,NIHU01000013.1
702,NIHU01000012.1
703,NIHU01000009.1
704,NIHU01000023.1
705,NIHU01000010.1
706,NIHU01000006.1
707,NIHU01000015.1
709,NIHU01000007.1
710,NIHU01000015.1
711,NIHU01000008.1
712,NIHU01000017.1
713,NIHU01000006.1
714,NIHU01000002.1
715,NIHU01000001.1
716,NIHU01000011.1
717,NIHU01000006.1
718,NIHU01000007.1
719,NIHU01000026.1
720,NIHU01000016.1
721,NIHU01000001.1
722,NIHU01000014.1
723,NIHU01000005.1
724,NIHU01000014.1
725,NIHU01000009.1
726,NIHU01000007.1
727,NIHU01000019.1
728,NIHU01000005.1
730,NIHU01000018.1
731,NIHU01000011.1
732,NIHU01000001.1
734,NIHU01000006.1
735,NIHU01000001.1
736,NIHU01000014.1
737,NIHU01000009.1
738,NIHU01000015.1
739,NIHU01000029.1
740,NIHU01000010.1
741,NIHU01000001.1
742,NIHU01000004.1
743,NIHU01000006.1
744,NIHU01000008.1
745,NIHU01000007.1
746,NIHU01000020.1
747,NIHU01000002.1
748,NIHU01000004.1
749,NIHU01000019.1
750,NIHU01000006.1
752,NIHU01000006.1
753,NIHU01000001.1
754,NIHU01000011.1
755,NIHU01000005.1
756,NIHU01000004.1
757,NIHU01000029.1
758,NIHU01000007.1
759,NIHU01000011.1
760,NIHU01000009.1
761,NIHU01000006.1
762,NIHU01000014.1
763,NIHU01000009.1
764,NIHU01000019.1
765,NIHU01000033.1
766,NIHU01000013.1
767,NIHU01000007.1
768,NIHU01000015.1
769,NIHU01000015.1
770,NIHU01000001.1
771,NIHU01000006.1
772,NIHU01000026.1
773,NIHU01000023.1
774,NIHU01000007.1
775,NIHU01000002.1
776,NIHU01000006.1
777,NIHU01000009.1
778,NIHU01000019.1
779,NIHU01000013.1
780,NIHU01000002.1
781,NIHU01000001.1
783,NIHU01000002.1
784,NIHU01000011.1
785,NIHU01000002.1
786,NIHU01000009.1
787,NIHU01000020.1
789,NIHU01000011.1
790,NIHU01000018.1
791,NIHU01000004.1
792,NIHU01000006.1
793,NIHU01000032.1
794,NIHU01000009.1
795,NIHU01000004.1
796,NIHU01000005.1
797,NIHU01000005.1
798,NIHU01000001.1
799,NIHU01000001.1
800,NIHU01000026.1
801,NIHU01000005.1
802,NIHU01000014.1
803,NIHU01000006.1
804,NIHU01000029.1
805,NIHU01000011.1
806,NIHU01000008.1
807,NIHU01000024.1
808,NIHU01000006.1
809,NIHU01000012.1
810,NIHU01000001.1
811,NIHU01000018.1
812,NIHU01000008.1
813,NIHU01000008.1
814,NIHU01000014.1
815,NIHU01000005.1
817,NIHU01000006.1
818,NIHU01000008.1
819,NIHU01000008.1
820,NIHU01000020.1
821,NIHU01000002.1
822,NIHU01000008.1
823,NIHU01000015.1
826,NIHU01000004.1
828,NIHU01000001.1
829,NIHU01000001.1
830,NIHU01000001.1
832,NIHU01000007.1
833,NIHU01000001.1
834,NIHU01000007.1
835,NIHU01000024.1
836,NIHU01000009.1
837,NIHU01000002.1
838,NIHU01000016.1
840,NIHU01000012.1
841,NIHU01000011.1
842,NIHU01000015.1
843,NIHU01000024.1
844,NIHU01000011.1
845,NIHU01000008.1
846,NIHU01000014.1
847,NIHU01000024.1
848,NIHU01000004.1
850,NIHU01000010.1
851,NIHU01000014.1
853,NIHU01000004.1
854,NIHU01000018.1
855,NIHU01000002.1
856,NIHU01000011.1
857,NIHU01000029.1
858,NIHU01000004.1
859,NIHU01000018.1
860,NIHU01000008.1
861,NIHU01000004.1
862,NIHU01000025.1
863,NIHU01000031.1
864,NIHU01000006.1
865,NIHU01000001.1
866,NIHU01000014.1
867,NIHU01000015.1
868,NIHU01000005.1
869,NIHU01000001.1
870,NIHU01000004.1
871,NIHU01000011.1
872,NIHU01000015.1
873,NIHU01000007.1
875,NIHU01000014.1
876,NIHU01000001.1
877,NIHU01000008.1
880,NIHU01000008.1
881,NIHU01000002.1
882,NIHU01000004.1
883,NIHU01000001.1
884,NIHU01000009.1
885,NIHU01000022.1
886,NIHU01000013.1
887,NIHU01000014.1
888,NIHU01000011.1
889,NIHU01000013.1
890,NIHU01000005.1
891,NIHU01000014.1
892,NIHU01000008.1
893,NIHU01000014.1
894,NIHU01000031.1
895,NIHU01000026.1
896,NIHU01000002.1
897,NIHU01000006.1
898,NIHU01000030.1
899,NIHU01000012.1
900,NIHU01000012.1
901,NIHU01000005.1
902,NIHU01000009.1
903,NIHU01000005.1
904,NIHU01000009.1
905,NIHU01000008.1
906,NIHU01000012.1
907,NIHU01000021.1
908,NIHU01000015.1
909,NIHU01000015.1
910,NIHU01000010.1
911,NIHU01000011.1
912,NIHU01000004.1
913,NIHU01000018.1
914,NIHU01000025.1
916,NIHU01000002.1
917,NIHU01000032.1
918,NIHU01000014.1
919,NIHU01000001.1
920,NIHU01000023.1
921,NIHU01000001.1
922,NIHU01000007.1
923,NIHU01000002.1
924,NIHU01000035.1
925,NIHU01000008.1
926,NIHU01000011.1
927,NIHU01000014.1
928,NIHU01000010.1
929,NIHU01000009.1
930,NIHU01000018.1
931,NIHU01000011.1
932,NIHU01000012.1
933,NIHU01000010.1
936,NIHU01000001.1
937,NIHU01000001.1
938,NIHU01000001.1
939,NIHU01000006.1
940,NIHU01000014.1
941,NIHU01000001.1
942,NIHU01000006.1
943,NIHU01000017.1
944,NIHU01000035.1
945,NIHU01000004.1
947,NIHU01000031.1
948,NIHU01000021.1
949,NIHU01000013.1
950,NIHU01000001.1
951,NIHU01000045.1
952,NIHU01000021.1
953,NIHU01000004.1
954,NIHU01000017.1
955,NIHU01000014.1
956,NIHU01000020.1
957,NIHU01000020.1
958,NIHU01000023.1
959,NIHU01000007.1
960,NIHU01000006.1
961,NIHU01000008.1
962,NIHU01000010.1
963,NIHU01000014.1
964,NIHU01000017.1
965,NIHU01000015.1
966,NIHU01000013.1
967,NIHU01000004.1
968,NIHU01000017.1
969,NIHU01000007.1
970,NIHU01000005.1
971,NIHU01000009.1
972,NIHU01000016.1
974,NIHU01000005.1
975,NIHU01000001.1
976,NIHU01000004.1
977,NIHU01000013.1
978,NIHU01000015.1
979,NIHU01000002.1
981,NIHU01000007.1
982,NIHU01000023.1
983,NIHU01000005.1
984,NIHU01000006.1
985,NIHU01000004.1
986,NIHU01000025.1
987,NIHU01000007.1
988,NIHU01000005.1
989,NIHU01000007.1
990,NIHU01000007.1
991,NIHU01000001.1
993,NIHU01000009.1
994,NIHU01000031.1
995,NIHU01000007.1
997,NIHU01000021.1
998,NIHU01000006.1
999,NIHU01000010.1
1000,NIHU01000018.1
1001,NIHU01000012.1
1002,NIHU01000002.1
1003,NIHU01000005.1
1004,NIHU01000004.1
1005,NIHU01000006.1
1006,NIHU01000023.1
1007,NIHU01000024.1
1008,NIHU01000011.1
1011,NIHU01000011.1
1013,NIHU01000011.1
1014,NIHU01000004.1
1015,NIHU01000019.1
1016,NIHU01000025.1
1017,NIHU01000013.1
1018,NIHU01000018.1
1019,NIHU01000004.1
1020,NIHU01000013.1
1021,NIHU01000005.1
1022,NIHU01000010.1
1023,NIHU01000001.1
1024,NIHU01000012.1
1025,NIHU01000007.1
1026,NIHU01000001.1
1027,NIHU01000006.1
1028,NIHU01000009.1
1029,NIHU01000002.1
1030,NIHU01000002.1
1031,NIHU01000013.1
1032,NIHU01000006.1
1033,NIHU01000030.1
1034,NIHU01000024.1
1035,NIHU01000024.1
1037,NIHU01000013.1
1038,NIHU01000015.1
1039,NIHU01000007.1
1040,NIHU01000013.1
1041,NIHU01000005.1
1042,NIHU01000005.1
1043,NIHU01000007.1
1044,NIHU01000021.1
1046,NIHU01000017.1
1047,NIHU01000012.1
1048,NIHU01000005.1
1049,NIHU01000012.1
1050,NIHU01000006.1
1051,NIHU01000016.1
1052,NIHU01000035.1
1053,NIHU01000016.1
1056,NIHU01000009.1
1057,NIHU01000008.1
1058,NIHU01000004.1
1059,NIHU01000024.1
1062,NIHU01000001.1
1063,NIHU01000017.1
1064,NIHU01000008.1
1065,NIHU01000001.1
1067,NIHU01000005.1
1068,NIHU01000019.1
1069,NIHU01000005.1
1070,NIHU01000004.1
1071,NIHU01000002.1
1072,NIHU01000007.1
1073,NIHU01000038.1
1074,NIHU01000031.1
1075,NIHU01000008.1
1077,NIHU01000005.1
1078,NIHU01000002.1
1079,NIHU01000011.1
1080,NIHU01000004.1
1081,NIHU01000012.1
1082,NIHU01000017.1
1083,NIHU01000006.1
1084,NIHU01000013.1
1085,NIHU01000019.1
1086,NIHU01000022.1
1087,NIHU01000001.1
1088,NIHU01000011.1
1089,NIHU01000002.1
1090,NIHU01000001.1
1091,NIHU01000004.1
1092,NIHU01000008.1
1093,NIHU01000015.1
1094,NIHU01000019.1
1095,NIHU01000014.1
1096,NIHU01000009.1
1097,NIHU01000010.1
1098,NIHU01000015.1
1099,NIHU01000016.1
1100,NIHU01000009.1
1101,NIHU01000016.1
1102,NIHU01000010.1
1103,NIHU01000010.1
1104,NIHU01000014.1
1105,NIHU01000005.1
1106,NIHU01000017.1
1107,NIHU01000018.1
1108,NIHU01000006.1
1109,NIHU01000023.1
1110,NIHU01000008.1
1111,NIHU01000001.1
1112,NIHU01000026.1
1113,NIHU01000025.1
1114,NIHU01000012.1
1115,NIHU01000008.1
1116,NIHU01000010.1
1119,NIHU01000006.1
1120,NIHU01000013.1
1121,NIHU01000017.1
1122,NIHU01000008.1
1123,NIHU01000006.1
1124,NIHU01000015.1
1126,NIHU01000015.1
1127,NIHU01000014.1
1128,NIHU01000013.1
1129,NIHU01000006.1
1130,NIHU01000006.1
1131,NIHU01000026.1
1132,NIHU01000012.1
1133,NIHU01000006.1
1134,NIHU01000011.1
1135,NIHU01000017.1
1136,NIHU01000007.1
1137,NIHU01000001.1
1138,NIHU01000010.1
1139,NIHU01000004.1
1140,NIHU01000001.1
1141,NIHU01000005.1
1142,NIHU01000024.1
1143,NIHU01000002.1
1144,NIHU01000004.1
1145,NIHU01000011.1
1146,NIHU01000022.1
1147,NIHU01000024.1
1148,NIHU01000007.1
1149,NIHU01000001.1
1150,NIHU01000016.1
1151,NIHU01000013.1
1152,NIHU01000002.1
1153,NIHU01000014.1
1154,NIHU01000007.1
1155,NIHU01000004.1
1156,NIHU01000014.1
1157,NIHU01000012.1
1158,NIHU01000010.1
1159,NIHU01000023.1
1160,NIHU01000012.1
1161,NIHU01000031.1
1162,NIHU01000024.1
1163,NIHU01000001.1
1164,NIHU01000006.1
1165,NIHU01000015.1
1166,NIHU01000002.1
1167,NIHU01000011.1
1168,NIHU01000020.1
1169,NIHU01000013.1
1170,NIHU01000011.1
1171,NIHU01000043.1
1173,NIHU01000013.1
1174,NIHU01000021.1
1175,NIHU01000018.1
1176,NIHU01000002.1
1177,NIHU01000009.1
1178,NIHU01000010.1
1179,NIHU01000014.1
1180,NIHU01000009.1
1181,NIHU01000002.1
1182,NIHU01000008.1
1183,NIHU01000004.1
1185,NIHU01000006.1
1187,NIHU01000020.1
1188,NIHU01000014.1
1189,NIHU01000018.1
1190,NIHU01000029.1
1191,NIHU01000007.1
1192,NIHU01000002.1
1193,NIHU01000010.1
1194,NIHU01000007.1
1195,NIHU01000008.1
1196,NIHU01000013.1
1198,NIHU01000005.1
1199,NIHU01000002.1
1201,NIHU01000007.1
1203,NIHU01000012.1
1204,NIHU01000017.1
1205,NIHU01000023.1
1206,NIHU01000011.1
1207,NIHU01000006.1
1208,NIHU01000002.1
1209,NIHU01000006.1
1210,NIHU01000001.1
1211,NIHU01000002.1
1214,NIHU01000017.1
1215,NIHU01000017.1
1216,NIHU01000017.1
1217,NIHU01000002.1
1218,NIHU01000019.1
1219,NIHU01000001.1
1220,NIHU01000005.1
1221,NIHU01000006.1
1222,NIHU01000026.1
1223,NIHU01000019.1
1225,NIHU01000023.1
1226,NIHU01000002.1
1227,NIHU01000005.1
1228,NIHU01000002.1
1229,NIHU01000023.1
1230,NIHU01000015.1
1231,NIHU01000004.1
1232,NIHU01000001.1
1233,NIHU01000023.1
1234,NIHU01000021.1
1235,NIHU01000030.1
1236,NIHU01000006.1
1237,NIHU01000013.1
1238,NIHU01000018.1
1239,NIHU01000011.1
