NR90	NR50	GO	KO	KEGG	Pfam	EC	eggNOG
UniRef90_A0A084JLI4	UniRef50_P47476	GO:0005840,GO:0003735,GO:0006412			PF01016		
UniRef90_A0A084JLI4	UniRef50_P47476	GO:0005840,GO:0003735,GO:0006412			PF01016		ENOG4105K46,COG0211
UniRef90_A0A084JLI4	UniRef50_P47476	GO:0005840,GO:0006412,GO:0003735			PF01016		
UniRef90_A0A084JLI4	UniRef50_P47476	GO:0005840,GO:0006412,GO:0003735			PF01016		ENOG4105K46,COG0211
UniRef90_A0A086ZXH7	UniRef50_A0A173RX20	GO:0016020			PF02687		
UniRef90_A0A086ZXH7	UniRef50_A0A173RX20	GO:0016021			PF02687		
UniRef90_A0A089M2R1	UniRef50_A0A094J4J6	GO:0043565			PF01381		
UniRef90_A0A089M2R1	UniRef50_A0A094J4J6	GO:0043565	K07729	pgm:PGRAT_02765	PF01381		
UniRef90_A0A096B5B1	UniRef50_A0A0S2W8L4						
UniRef90_A0A096B5B1	UniRef50_A0A0S2W8L4	GO:0003677,GO:0003700,GO:0003899,GO:0016987,GO:0006352			PF08281		
UniRef90_A0A096B5B1	UniRef50_A0A0S2W8L4	GO:0003677,GO:0003700,GO:0016987,GO:0006352			PF08281		
UniRef90_A0A096B5B1	UniRef50_A0A0S2W8L4	GO:0003677,GO:0003700,GO:0016987,GO:0006352			PF08281		ENOG4107IQB,ENOG411194K
UniRef90_A0A096B5B1	UniRef50_A0A0S2W8L4	GO:0003677,GO:0003700,GO:0016987,GO:0006352			PF08281		ENOG4108K8I,ENOG410ZZ25
UniRef90_A0A096B5B1	UniRef50_A0A0S2W8L4	GO:0006352,GO:0016987,GO:0003700,GO:0003677			PF08281		
UniRef90_A0A096B5B1	UniRef50_A0A0S2W8L4	GO:0006352,GO:0016987,GO:0003700,GO:0003677		cdl:CDR20291_1773	PF08281		
UniRef90_A0A0D8IVL4	UniRef50_B0G8Q7						
UniRef90_A0A0D8IVL4	UniRef50_B0G8Q7			bhan:CGC63_00365			ENOG4108B59,ENOG410ZQCG
UniRef90_A0A0D8IVL4	UniRef50_B0G8Q7	GO:0016021					
UniRef90_A0A0D8IVL4	UniRef50_B0G8Q7	GO:0016021					ENOG4108B59,ENOG410ZQCG
UniRef90_A0A0E2H412	UniRef50_A0A0E2H412						
UniRef90_A0A0E2H412	UniRef50_A0A0E2H412			bhan:CGC63_07595			ENOG4106JPU,ENOG410YA3H
UniRef90_A0A0E2H412	UniRef50_A0A0E2H412			elm:ELI_0227			ENOG4106JPU,ENOG410YA3H
UniRef90_A0A0E2H4N4	UniRef50_A0A0E2H4N4						
UniRef90_A0A0E2H4N4	UniRef50_A0A0E2H4N4				PF14096		
UniRef90_A0A0E2H4N4	UniRef50_A0A0E2H4N4			bhan:CGC63_07700	PF14096		ENOG410XXHA,ENOG4106A08
UniRef90_A0A0E9F7E2	UniRef50_A0A060QS26						
UniRef90_A0A0E9F7E2	UniRef50_A0A060QS26	GO:0003677,GO:0015074,GO:0006310			PF00589		
UniRef90_A0A0E9F7E2	UniRef50_A0A060QS26	GO:0003677,GO:0015074,GO:0006310			PF13102,PF00589		
UniRef90_A0A0E9FSE3	UniRef50_G9RPZ1						
UniRef90_A0A0E9FSE3	UniRef50_G9RPZ1				PF05272		
UniRef90_A0A0E9FSE3	UniRef50_G9RPZ1				PF05272		ENOG4105H2V,COG5545
UniRef90_A0A0E9FSE3	UniRef50_G9RPZ1			rho:RHOM_06500	PF05272		ENOG4105H2V,COG5545
UniRef90_A0A0E9GGA1	UniRef50_A0A0E9GGA1						
UniRef90_A0A0E9GGA1	UniRef50_A0A0E9GGA1	GO:0003677,GO:0003916,GO:0003743,GO:0006270			PF02486		
UniRef90_A0A0E9GGA1	UniRef50_A0A0E9GGA1	GO:0003677,GO:0003916,GO:0006270			PF02486		
UniRef90_A0A0F0CGB5	UniRef50_D4MPJ4				PF14195,PF14191		
UniRef90_A0A0F0CGB5	UniRef50_D4MPJ4				PF14195,PF14191		ENOG4107UAB,ENOG410ZW2D
UniRef90_A0A0F0CGB5	UniRef50_D4MPJ4			csh:Closa_3706	PF14195,PF14191		ENOG4107UAB,ENOG410ZW2D
UniRef90_A0A0F0CGD5	UniRef50_D4CRD5	GO:0005524			PF01695		
UniRef90_A0A0F0CGD5	UniRef50_D4CRD5	GO:0005524			PF01695		ENOG4105H3Q,COG1484
UniRef90_A0A0F0CGD5	UniRef50_D4CRD5	GO:0005524	K02315	csh:Closa_3725	PF01695		ENOG4105H3Q,COG1484
UniRef90_A0A0F0CLD1	UniRef50_A7VE15						
UniRef90_A0A0F0CLD1	UniRef50_A7VE15	GO:0005737,GO:0003684,GO:0003887,GO:0000287,GO:0006281,GO:0006261			PF00817,PF11799	2.7.7.7	
UniRef90_A0A0F0CLD1	UniRef50_A7VE15	GO:0005737,GO:0003684,GO:0003887,GO:0000287,GO:0006281,GO:0006261			PF00817,PF11799	2.7.7.7	ENOG4105CQ3,COG0389
UniRef90_A0A0F0CLG3	UniRef50_H1CGW3				PF00877		
UniRef90_A0A0F0CLG3	UniRef50_H1CGW3				PF00877		ENOG4107R2F,COG0791
UniRef90_A0A0F0CLG3	UniRef50_H1CGW3			csh:Closa_3714	PF00877		ENOG4107R2F,COG0791
UniRef90_A0A0F0CLG3	UniRef50_H1CGW3	GO:0016021,GO:0016787			PF00877		
UniRef90_A0A0F0CLG3	UniRef50_H1CGW3	GO:0016787			PF00877		
UniRef90_A0A0F0CLG3	UniRef50_H1CGW3	GO:0016787			PF00877	3.4.19.11	
UniRef90_A0A0F0CLH1	UniRef50_A0A2A7ADH9	GO:0003677			PF02195		
UniRef90_A0A0G8G5S9	UniRef50_A6P2J4						
UniRef90_A0A0G8G7V3	UniRef50_N1ZSX2	GO:0043565			PF12844		
UniRef90_A0A0G8G7V7	UniRef50_A0A173YBT8						
UniRef90_A0A0G8G7V7	UniRef50_A0A173YBT8				PF12687		
UniRef90_A0A0J0U668	UniRef50_A0A0A1MTG8						
UniRef90_A0A0J0U668	UniRef50_A0A0A1MTG8				PF00877		
UniRef90_A0A0J0U668	UniRef50_A0A0A1MTG8				PF00877		ENOG4105K4H,COG0741,COG0791
UniRef90_A0A0J0U668	UniRef50_A0A0A1MTG8				PF00877		ENOG4107R2F,COG0741,COG0791
UniRef90_A0A0J0U668	UniRef50_A0A0A1MTG8			blau:DQQ01_12905	PF00877		
UniRef90_A0A0J0U668	UniRef50_A0A0A1MTG8			smb:smi_1695	PF00877		ENOG4105K4H,COG0741,COG0791
UniRef90_A0A0J0U668	UniRef50_A0A0A1MTG8	GO:0016021			PF00877		
UniRef90_A0A0J0U668	UniRef50_A0A0A1MTG8	GO:0016021			PF00877		ENOG4105K4H,COG0741,COG0791
UniRef90_A0A0J0U668	UniRef50_A0A0A1MTG8	GO:0016021			PF00877		ENOG4107R2F,COG0741,COG0791
UniRef90_A0A0J0U668	UniRef50_A0A0A1MTG8	GO:0016021,GO:0016787			PF00877	3.4.-.-	
UniRef90_A0A0J0U668	UniRef50_A0A0A1MTG8	GO:0016787			PF00877		
UniRef90_A0A0J0U668	UniRef50_A0A0A1MTG8	GO:0016787			PF00877	3.4.-.-	
UniRef90_A0A0J0U668	UniRef50_A0A0A1MTG8	GO:0016787		bprl:CL2_06690	PF00877		ENOG4105K4H,COG0741,COG0791
UniRef90_A0A0J0U668	UniRef50_A0A0A1MTG8	GO:0016787,GO:0016021		pdc:CDIF630_00499,cdf:CD630_03720,cdf:CD630_33800,pdc:CDIF630_03683	PF00877	3.4.-.-	ENOG4105K4H,COG0741,COG0791
UniRef90_A0A0K2Y5T8	UniRef50_P61623						
UniRef90_A0A0K2Y5T8	UniRef50_P61623	GO:0015074,GO:0006310			PF09035		
UniRef90_A0A0K2Y5T8	UniRef50_P61623	GO:0015074,GO:0006310			PF09035		ENOG4105MBQ,ENOG4111V59
UniRef90_A0A0K2Y5T8	UniRef50_P61623	GO:0015074,GO:0006310		blau:DQQ01_06980	PF09035		
UniRef90_A0A0K2Y5T8	UniRef50_P61623	GO:0015074,GO:0006310		cdf:CD630_03560,pdc:CDIF630_00484	PF09035		ENOG4111V59,ENOG4105MBQ
UniRef90_A0A0K9NBB8	UniRef50_Q06115						
UniRef90_A0A0K9NBB8	UniRef50_Q06115				PF02275		
UniRef90_A0A0K9NBB8	UniRef50_Q06115				PF02275		ENOG4107QHE,COG3049
UniRef90_A0A0K9NBB8	UniRef50_Q06115	GO:0016787			PF02275		
UniRef90_A0A0K9NBB8	UniRef50_Q06115	GO:0016787			PF02275	3.5.1.-	ENOG4107QHE,COG3049
UniRef90_A0A0K9NBB8	UniRef50_Q06115	GO:0016787	K01442	rho:RHOM_15180	PF02275		ENOG4107QHE,COG3049
UniRef90_A0A0K9NBB8	UniRef50_Q06115	GO:0045302			PF02275	3.5.1.24	
UniRef90_A0A0K9NED1	UniRef50_B5EBD2	GO:0005840,GO:0003735,GO:0006412			PF00886		
UniRef90_A0A0K9NED1	UniRef50_B5EBD2	GO:0005840,GO:0003735,GO:0006412			PF00886		ENOG4105K5M,COG0228
UniRef90_A0A0K9NED1	UniRef50_B5EBD2	GO:0005840,GO:0003735,GO:0006412			PF00886		NR90	NR50	GO	KO	KEGG	Pfam	EC	eggNOG
UniRef90_A0A0K9NED1	UniRef50_B5EBD2	GO:0005840,GO:0003735,GO:0006412	K02959	byl:A4V09_05155	PF00886		
UniRef90_A0A0K9NED1	UniRef50_B5EBD2	GO:0005840,GO:0006412,GO:0003735			PF00886		ENOG4105K5M,COG0228
UniRef90_A0A0K9NG05	UniRef50_U2D786						
UniRef90_A0A0K9NG16	UniRef50_E0RYB1						
UniRef90_A0A0K9NG16	UniRef50_E0RYB1	GO:0046914			PF04023		
UniRef90_A0A0K9NG21	UniRef50_R9ITC4						
UniRef90_A0A0K9NHZ0	UniRef50_R5IQR1						
UniRef90_A0A0K9NHZ0	UniRef50_R5IQR1	GO:0005524			PF01695		
UniRef90_A0A0K9NHZ0	UniRef50_R5IQR1	GO:0005524,GO:0004386			PF01695		
UniRef90_A0A0K9NI95	UniRef50_C7HTR5						
UniRef90_A0A0K9NI95	UniRef50_C7HTR5	GO:0009055,GO:0010181			PF00258		
UniRef90_A0A0L0QLX7	UniRef50_A0A3A7G6E0						
UniRef90_A0A0L0QLX7	UniRef50_A0A3A7G6E0	GO:0016021					
UniRef90_A0A0L0QLX7	UniRef50_A0A3A7G6E0	GO:0016021					ENOG4105N55,ENOG4111U0C
UniRef90_A0A0L0QLX7	UniRef50_A0A3A7G6E0	GO:0016021		cbei:LF65_01592			
UniRef90_A0A0L0QLX7	UniRef50_A0A3A7G6E0	GO:0016021		ess:ATZ33_06620			
UniRef90_A0A0M6WA63	UniRef50_R5H046				PF01547		
UniRef90_A0A0M6WA63	UniRef50_R5H046	GO:0008643			PF01547		
UniRef90_A0A0M6WA74	UniRef50_C0CTM2	GO:0003700,GO:0043565			PF02311,PF12833		
UniRef90_A0A0M6WA74	UniRef50_C0CTM2	GO:0003700,GO:0043565			PF12833,PF02311		
UniRef90_A0A0M6WA74	UniRef50_C0CTM2	GO:0003700,GO:0043565		bhan:CGC63_02480	PF12833,PF02311		ENOG4108R6W,COG2207
UniRef90_A0A0M6WA74	UniRef50_C0CTM2	GO:0003700,GO:0043565		blau:DQQ01_06925	PF02311,PF12833		
UniRef90_A0A0M6WBN1	UniRef50_A0A3E4FCA7						
UniRef90_A0A0M6WEI8	UniRef50_A0A0M6WEI8	GO:0003677,GO:0003700			PF01475		
UniRef90_A0A0M6WEI8	UniRef50_A0A0M6WEI8	GO:0003677,GO:0003700			PF01475		ENOG4105G5W,COG0735
UniRef90_A0A0M6WEI8	UniRef50_A0A0M6WEI8	GO:0003677,GO:0003700			PF01475		NR90	NR50	GO	KO	KEGG	Pfam	EC	eggNOG
UniRef90_A0A0M6WEI8	UniRef50_A0A0M6WEI8	GO:0003677,GO:0003700		rto:RTO_28170	PF01475		ENOG4105G5W,COG0735
UniRef90_A0A0M6WEI8	UniRef50_A0A0M6WEI8	GO:0003700			PF01475		
UniRef90_A0A0M6WF48	UniRef50_N9X8W6						
UniRef90_A0A0M6WF48	UniRef50_N9X8W6	GO:0043565			PF01381		
UniRef90_A0A0M6WF48	UniRef50_N9X8W6	GO:0043565			PF01381		ENOG4108VZQ,ENOG4111IS1
UniRef90_A0A0M6WF48	UniRef50_N9X8W6	GO:0043565		rto:RTO_20940	PF01381		ENOG4108VZQ,ENOG4111IS1
UniRef90_A0A0M6WIJ6	UniRef50_A0A0M6WIJ6	GO:0016021					
UniRef90_A0A0M6WQV4	UniRef50_A0A174L5N0					5.99.1.2	
UniRef90_A0A0M6WQV4	UniRef50_A0A174L5N0	GO:0003677,GO:0003917,GO:0006265			PF01131	5.99.1.2	
UniRef90_A0A0M6WQV4	UniRef50_A0A174L5N0	GO:0003677,GO:0003917,GO:0006265			PF01131,PF01751		
UniRef90_A0A0M6WQV4	UniRef50_A0A174L5N0	GO:0003677,GO:0003917,GO:0006265			PF01131,PF01751	5.99.1.2	
UniRef90_A0A0M6WQV4	UniRef50_A0A174L5N0	GO:0003677,GO:0003917,GO:0006265	K03169	ehl:EHLA_1459	PF01131,PF01751	5.99.1.-,5.99.1.2	
UniRef90_A0A0M6WQV4	UniRef50_A0A174L5N0	GO:0003677,GO:0003917,GO:0006265	K03169	ere:EUBREC_3570	PF01131,PF01751		
UniRef90_A0A0M6WVZ2	UniRef50_A0A3E4E3V7	GO:0016021			PF04191		
UniRef90_A0A0M6WVZ2	UniRef50_A0A3E4E3V7	GO:0016021,GO:0008168			PF04191		
UniRef90_A0A0M6WVZ2	UniRef50_A0A3E4E3V7	GO:0016021,GO:0008168			PF04191		ENOG41082KW,ENOG4111UTF
UniRef90_A0A0M6WX46	UniRef50_A0A0M6WX46						
UniRef90_A0A0M6WX46	UniRef50_A0A0M6WX46			ehl:EHLA_2558			
UniRef90_A0A0M6WYS0	UniRef50_A7VX94					2.1.1.37	
UniRef90_A0A0M6WYS0	UniRef50_A7VX94	GO:0003886,GO:0043565			PF00145,PF13443	2.1.1.37	
UniRef90_A0A0M6WYS0	UniRef50_A7VX94	GO:0003886,GO:0043565			PF00145,PF13443	2.1.1.37	ENOG4105DVF,COG0270,COG3655
UniRef90_A0A0M6WYS0	UniRef50_A7VX94	GO:0003886,GO:0043565	K00558	rto:RTO_14860	PF00145,PF13443	2.1.1.37	ENOG4105DVF,COG0270,COG3655
UniRef90_A0A0M6WYS0	UniRef50_A7VX94	GO:0043565,GO:0003886			PF00145,PF13443	2.1.1.37	
UniRef90_A0A0M6X0U7	UniRef50_A0A0M6X0U7	GO:0005328,GO:0016021					
UniRef90_A0A0M6X0U7	UniRef50_A0A0M6X0U7	GO:0016021,GO:0005328					
UniRef90_A0A0M6X231	UniRef50_W1TMH4	GO:0008643,GO:0016021,GO:0006814,GO:0015293					
UniRef90_A0A0M6X231	UniRef50_W1TMH4	GO:0016021,GO:0015293,GO:0008643,GO:0006814					
UniRef90_A0A0M6X337	UniRef50_E2N779	GO:0008484			PF16347,PF00884		
UniRef90_A0A0N0NSM2	UniRef50_A0A0N0NSM2						
UniRef90_A0A0N0NSM2	UniRef50_A0A0N0NSM2						ENOG4106WSU,ENOG410YRSP
UniRef90_A0A0N0NSM2	UniRef50_A0A0N0NSM2						ENOG410YRSP,ENOG4106WSU
UniRef90_A0A0N0NSM2	UniRef50_A0A0N0NSM2	GO:0003677					
UniRef90_A0A0N1P927	UniRef50_B0G6W4						
UniRef90_A0A0N1P927	UniRef50_B0G6W4	GO:0003677,GO:0003700,GO:0016987,GO:0006352			PF08281		
UniRef90_A0A0S2W775	UniRef50_A0A2A7A2R3						
UniRef90_A0A0S2W775	UniRef50_A0A2A7A2R3	GO:0043565			PF01381		
UniRef90_A0A0S2W775	UniRef50_A0A2A7A2R3	GO:0043565			PF01381		ENOG4108VZQ,ENOG4111IS1
UniRef90_A0A0S2W775	UniRef50_A0A2A7A2R3	GO:0043565		ibu:IB211_02813	PF01381		
UniRef90_A0A0S2W8L4	UniRef50_A0A0S2W8L4						
UniRef90_A0A0S2W8L4	UniRef50_A0A0S2W8L4				PF12645		
UniRef90_A0A0S2W8L4	UniRef50_A0A0S2W8L4				PF12645		ENOG4105KRY,ENOG4111UEH
UniRef90_A0A0S2W8L4	UniRef50_A0A0S2W8L4				PF12645		ENOG4105X7I,ENOG41124HD
UniRef90_A0A0S2W8L4	UniRef50_A0A0S2W8L4			ibu:IB211_02809c	PF12645		
UniRef90_A0A0V8QIQ1	UniRef50_A0A0V8QHE3	GO:0003677,GO:0004803,GO:0006313			PF04986		
UniRef90_A0A0V8QIQ1	UniRef50_A0A0V8QHE3	GO:0006313,GO:0004803,GO:0003677			PF04986		
UniRef90_A0A0V8QK26	UniRef50_D4CRF7						
UniRef90_A0A0X1U8D1	UniRef50_A1S6Q5	GO:0005737,GO:0009228,GO:0009229,GO:0016783			PF05690	2.8.1.10	
UniRef90_A0A0X1U8D1	UniRef50_A1S6Q5	GO:0005737,GO:0016783,GO:0009228,GO:0009229			PF05690	2.8.1.10	
UniRef90_A0A0X1U8D1	UniRef50_A1S6Q5	GO:0005737,GO:0016783,GO:0009228,GO:0009229			PF05690	2.8.1.10	ENOG4105CA8,COG2022
UniRef90_A0A0X1U8D1	UniRef50_A1S6Q5	GO:0005737,GO:0016783,GO:0009228,GO:0009229	K03149	cpro:CPRO_15960	PF05690	2.8.1.10	
UniRef90_A0A116NS82	UniRef50_A0A2N9Z693						
UniRef90_A0A116NS82	UniRef50_A0A2N9Z693				PF02195		
UniRef90_A0A116NS82	UniRef50_A0A2N9Z693	GO:0003677			PF02195		
UniRef90_A0A116NS82	UniRef50_A0A2N9Z693	GO:0003677			PF02195		COG1475,ENOG4105F5A
UniRef90_A0A116NS82	UniRef50_A0A2N9Z693	GO:0003677			PF02195		ENOG4105F5A,COG1475
UniRef90_A0A116NS82	UniRef50_A0A2N9Z693	GO:0003677	K03497	bhan:CGC63_01535	PF02195		COG1475,ENOG4105F5A
UniRef90_A0A116NS82	UniRef50_A0A2N9Z693	GO:0003677	K03497	ehl:EHLA_2565	PF02195		
UniRef90_A0A116NS82	UniRef50_A0A2N9Z693	GO:0003677	K03497	ssk:SSUD12_1313	PF02195		
UniRef90_A0A127SAM3	UniRef50_A0A127SAM3						
UniRef90_A0A127SAM3	UniRef50_A0A127SAM3				PF14202		
UniRef90_A0A127SAM3	UniRef50_A0A127SAM3				PF14202		ENOG4105MPH,ENOG4111VM8
UniRef90_A0A127SAM3	UniRef50_A0A127SAM3			ibu:IB211_02808c,ibu:IB211_03280	PF14202		
UniRef90_A0A132Z6Z5	UniRef50_A0A132Z6Z5						
UniRef90_A0A132Z6Z5	UniRef50_A0A132Z6Z5	GO:0003677,GO:0003916,GO:0006270			PF02486		COG2946
UniRef90_A0A132Z6Z5	UniRef50_A0A132Z6Z5	GO:0003916,GO:0043565,GO:0006270			PF01381,PF02486		
UniRef90_A0A132Z6Z5	UniRef50_A0A132Z6Z5	GO:0003916,GO:0043565,GO:0006270			PF01381,PF02486		ENOG4106128,COG2946
UniRef90_A0A133YGI8	UniRef50_E0NNL5						
UniRef90_A0A133YGI8	UniRef50_E0NNL5				PF00072,PF00486		
UniRef90_A0A133YGI8	UniRef50_E0NNL5	GO:0000160,GO:0006355,GO:0003677			PF00072,PF00486		
UniRef90_A0A133YGI8	UniRef50_E0NNL5	GO:0000160,GO:0006355,GO:0003677		cdf:CD630_18760,pdc:CDIF630_02079,cdl:CDR20291_1806	PF00072,PF00486		ENOG4108S90,COG0745
UniRef90_A0A133YGI8	UniRef50_E0NNL5	GO:0000160,GO:0006355,GO:0003677		efa:EF1864	PF00072,PF00486		ENOG4108S90,COG0745
UniRef90_A0A133YGI8	UniRef50_E0NNL5	GO:0000160,GO:0006355,GO:0003677		efu:HMPREF0351_12984	PF00072,PF00486		ENOG4108S90,COG0745
UniRef90_A0A133YGI8	UniRef50_E0NNL5	GO:0000160,GO:0006355,GO:0003677		sage:EN72_03505,sagg:EN73_03620,sag:SAG0616,san:gbs0597	PF00072,PF00486		ENOG4108S90,COG0745
UniRef90_A0A133YGI8	UniRef50_E0NNL5	GO:0003677,GO:0000160,GO:0006355			PF00072,PF00486		
UniRef90_A0A133YGI8	UniRef50_E0NNL5	GO:0003677,GO:0000160,GO:0006355			PF00072,PF00486		ENOG4108S90,COG0745
UniRef90_A0A134CL89	UniRef50_A0A1C7FUV4						
UniRef90_A0A134CL89	UniRef50_A0A1C7FUV4				PF14287		
UniRef90_A0A134CL89	UniRef50_A0A1C7FUV4	GO:0003677,GO:0000150			PF13408,PF00239,PF07508,PF14287		
UniRef90_A0A134CL89	UniRef50_A0A1C7FUV4	GO:0003677,GO:0000150			PF14287,PF07508,PF00239,PF13408		
UniRef90_A0A134CL89	UniRef50_A0A1C7FUV4	GO:0003677,GO:0000150			PF14287,PF07508,PF00239,PF13408		COG1961
UniRef90_A0A134CL89	UniRef50_A0A1C7FUV4	GO:0003677,GO:0000150			PF14287,PF07508,PF00239,PF13408		ENOG4105C6I,COG1961
UniRef90_A0A134CL89	UniRef50_A0A1C7FUV4	GO:0003677,GO:0000150			PF14287,PF07508,PF13408		
UniRef90_A0A134CL89	UniRef50_A0A1C7FUV4	GO:0003677,GO:0000150			PF14287,PF07508,PF13408		ENOG4105C6I,COG1961
UniRef90_A0A135YL55	UniRef50_R9K3U5						
UniRef90_A0A135YL55	UniRef50_R9K3U5	GO:0003677,GO:0000160,GO:0006355			PF00072,PF00486		
UniRef90_A0A135YL55	UniRef50_R9K3U5	GO:0003677,GO:0000160,GO:0006355			PF00486		
UniRef90_A0A135YLI3	UniRef50_A0A0M4LSI3	GO:0005524,GO:0016887			PF00005		
UniRef90_A0A135YT79	UniRef50_Q893D4						
UniRef90_A0A135YT79	UniRef50_Q893D4	GO:0003677,GO:0003700			PF00392		
UniRef90_A0A135YTH6	UniRef50_A0A135YTH6						
UniRef90_A0A135YTH6	UniRef50_A0A135YTH6	GO:0000155			PF02518		
UniRef90_A0A135YTH6	UniRef50_A0A135YTH6	GO:0000155			PF02518,PF00512		
UniRef90_A0A135YTH6	UniRef50_A0A135YTH6	GO:0000155,GO:0005524,GO:0016021			PF00512,PF02518		
UniRef90_A0A135YTH6	UniRef50_A0A135YTH6	GO:0000155,GO:0005524,GO:0016021		slu:KE3_1479	PF00512,PF02518	2.7.13.3,2.7.3.-	
UniRef90_A0A135YTH6	UniRef50_A0A135YTH6	GO:0016021,GO:0005524,GO:0000155			PF02518,PF00512		
UniRef90_A0A135YTH6	UniRef50_A0A135YTH6	GO:0016021,GO:0005524,GO:0000155			PF02518,PF00512		ENOG4108I0H,COG5002
UniRef90_A0A135YTH6	UniRef50_A0A135YTH6	GO:0016021,GO:0005524,GO:0000155			PF02518,PF00512	2.7.13.3	
UniRef90_A0A135YTH6	UniRef50_A0A135YTH6	GO:0016021,GO:0005524,GO:0000155		eel:EUBELI_01522	PF02518,PF00512		ENOG4105N1U,COG0642
UniRef90_A0A135YTX3	UniRef50_A0A0J5QR21						
UniRef90_A0A135YTX3	UniRef50_A0A0J5QR21				PF12645		
UniRef90_A0A135YTX3	UniRef50_A0A0J5QR21				PF12645		ENOG4105KRY,ENOG4111UEH
UniRef90_A0A135YTX3	UniRef50_A0A0J5QR21			acg:AWM71_07135	PF12645		
UniRef90_A0A135YTX3	UniRef50_A0A0J5QR21			lsj:LSJ_5016	PF12645		
UniRef90_A0A135YTX3	UniRef50_A0A0J5QR21			sag:SAG0918,sage:EN72_03665	PF12645		
UniRef90_A0A135YTX3	UniRef50_A0A0J5QR21			slu:KE3_1607	PF12645		
UniRef90_A0A135YTX3	UniRef50_A0A0J5QR21			soi:I872_07970	PF12645		
UniRef90_A0A135YTX3	UniRef50_A0A0J5QR21			sor:SOR_1886	PF12645		
UniRef90_A0A135YTX3	UniRef50_A0A0J5QR21			spv:SPH_1405,spw:SPCG_1332,snc:HMPREF0837_12220,spw:SPCG_0177	PF12645		
UniRef90_A0A135YTX3	UniRef50_A0A0J5QR21			std:SPPN_01510	PF12645		
UniRef90_A0A135YTX3	UniRef50_A0A0J5QR21	GO:0003677			PF12645		
UniRef90_A0A135YTX3	UniRef50_A0A0J5QR21	GO:0016740		ssb:SSUBM407_0480,ssb:SSUBM407_0987a	PF12645		
UniRef90_A0A135YVE9	UniRef50_G5GIX9						
